,To,Ti_sp,Φo,Φi,Qa,Φa,Etot
2000-02-01 01:00:00+01:00,-5.7,16,0.0,0.0,0.0,0.0,0.0
2000-02-01 02:00:00+01:00,-6.2,16,0.0,0.0,0.0,0.0,0.0
2000-02-01 03:00:00+01:00,-6.4,16,0.0,0.0,0.0,0.0,0.0
2000-02-01 04:00:00+01:00,-6.3,16,0.0,0.0,0.0,0.0,0.0
2000-02-01 05:00:00+01:00,-6.2,16,0.0,0.0,0.0,0.0,0.0
2000-02-01 06:00:00+01:00,-6.4,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 07:00:00+01:00,-6.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 08:00:00+01:00,-5.5,20,1051.6769718022767,262.9192429505692,0.0,1152.9093314263073,389.50998955639886
2000-02-01 09:00:00+01:00,-5.7,20,2037.0377230804986,509.25943077012465,0.0,2214.6782260549053,754.4584159557403
2000-02-01 10:00:00+01:00,0.1,20,2769.260077022286,692.3150192555715,0.0,2992.5735447159163,1025.6518803786246
2000-02-01 11:00:00+01:00,0.9,20,3108.4086521774834,777.1021630443709,0.0,3353.3441008731834,1151.2624637694385
2000-02-01 12:00:00+01:00,2.0,20,3049.4091381670437,762.3522845417609,0.0,3298.6879266759374,1129.41079191372
2000-02-01 13:00:00+01:00,2.9,20,2608.5787967993783,652.1446991998446,0.0,2843.42984742337,966.140295110881
2000-02-01 14:00:00+01:00,3.6,20,1872.7292707156066,468.18231767890165,0.0,2075.538994325148,693.6034335983729
2000-02-01 15:00:00+01:00,2.8,20,969.6622848257125,242.41557120642813,0.0,1117.6811152900557,359.13417956507874
2000-02-01 16:00:00+01:00,2.1,20,256.50874799999985,64.12718699999996,0.0,324.91477439999977,95.00323999999995
2000-02-01 17:00:00+01:00,-1.5,20,47.24999999999999,11.812499999999998,0.0,59.85,17.5
2000-02-01 18:00:00+01:00,-3.1,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 19:00:00+01:00,-3.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 20:00:00+01:00,-4.9,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 21:00:00+01:00,-6.0,20,0.0,0.0,0.0,0.0,0.0
2000-02-01 22:00:00+01:00,-7.5,20,0.0,0.0,0.0,0.0,0.0
